date, pm25, pm10, o3, no2, so2, co
2020/10/28, 57, 34, 41, 24, , 
2020/10/29, 69, 36, 43, 15, 1, 3
2020/10/30, 73, 10, 17, 7, , 1
2020/10/31, 22, 10, 19, 4, , 1
2020/11/1, 20, 12, 18, 3, , 1
2020/11/2, 24, 12, 19, 4, , 1
2020/11/3, 26, 15, 23, 8, 1, 2
2020/11/4, 32, 16, 23, 7, , 1
2020/11/5, 40, 10, 28, 8, , 2
2020/11/6, 37, 16, 24, 7, , 1
2020/11/7, 38, 20, 41, 7, , 1
2020/11/8, 50, 26, 60, 9, 1, 2
2020/11/9, 67, 28, 40, 9, 1, 2
2020/11/10, 62, 15, 31, 9, , 2
2020/11/11, 43, 28, 47, 14, , 3
2020/11/12, 69, 18, 42, 11, , 2
2020/11/13, 51, 25, 33, 13, , 3
2020/11/14, 66, 23, 46, 10, , 3
2020/11/15, 63, 18, 46, 6, , 2
2020/11/16, 51, 20, 38, 13, , 3
2020/11/17, 49, 12, 21, 7, , 1
2020/11/18, 30, 12, 14, 8, , 1
2020/11/19, 31, 9, 17, 8, , 1
2020/11/20, 26, 11, 24, 5, , 1
2020/11/21, 25, 13, 25, 5, , 1
2020/11/22, 34, 12, 26, 4, , 1
2020/11/23, 32, 12, 19, 6, , 1
2020/11/24, 28, 18, 24, 5, , 1
2020/11/25, 37, 28, 46, 11, 1, 2
2020/11/26, 57, 23, 33, 16, , 3
2020/11/27, 50, 33, 59, 18, , 5
2020/11/28, 78, 26, 44, 6, , 1
2020/11/29, 56, 25, 39, 8, , 2
2020/11/30, 59, 23, 34, 18, , 4
2020/12/1, 56, 25, 28, 12, , 2
2020/12/2, 45, 17, 32, 9, , 2
2020/12/3, 48, 23, 37, 12, , 3
2020/12/4, 44, 16, 34, 9, , 1
2020/12/5, 39, 12, 20, 4, , 1
2020/12/6, 29, 12, 15, 4, , 1
2020/12/7, 34, 10, 21, 7, , 1
2020/12/8, 31, 11, 31, 10, , 1
2020/12/9, 32, 19, 40, 9, 1, 1
2020/12/10, 51, 17, 28, 7, , 1
2020/12/11, 43, 17, 24, 11, , 2
2020/12/12, 39, 20, 32, 12, , 3
2020/12/13, 49, 10, 23, 7, , 1
2020/12/14, 31, 15, 26, 9, , 
2020/12/15, 36, 16, 29, 12, , 
2020/12/16, 39, 20, 43, 13, , 
2020/12/17, 53, 15, 60, 13, , 7
2020/12/18, 39, 18, 32, 13, , 3
2020/12/19, 39, 22, 40, 9, , 3
2020/12/20, 58, 14, 37, 7, , 2
2020/12/21, 33, 20, 29, 10, , 2
2020/12/22, 46, 10, 16, 6, , 1
2020/12/23, 25, 15, 17, 7, , 1
2020/12/24, 36, 15, 17, 4, , 1
2020/12/25, 27, 14, 19, 3, , 1
2020/12/26, 31, 16, 23, 4, , 1
2020/12/27, 37, 28, 11, 5, , 1
2020/12/28, 27, 11, 25, 11, , 2
2020/12/29, 28, 9, 30, 10, , 2
2020/12/30, 24, 12, 34, 10, , 2
2020/12/31, 28, 13, 25, 7, , 2
2021/1/1, 33, 14, 25, 3, , 2
2021/1/2, 45, 10, 21, 2, , 1
2021/1/3, 28, 10, 21, 2, , 1
2021/1/4, 25, 12, 30, 5, , 1
2020/7/2, 34, 27, 18, 14, , 2
2020/7/3, 50, 31, 20, 10, 1, 1
2020/7/4, 59, 33, 22, 15, , 5
2020/7/5, 64, 37, 21, 12, , 6
2020/7/6, 81, 45, 23, 16, , 5
2020/7/7, 79, 47, 22, 16, , 5
2020/7/8, 63, 45, 23, 17, , 3
2020/7/9, 51, 40, 17, 11, , 2
2020/7/10, 53, 39, 19, 15, 1, 4
2020/7/11, 63, 38, 22, 13, , 4
2020/7/12, 70, 46, 28, 17, , 6
2020/7/13, 77, 53, 26, 22, , 7
2020/7/14, 69, 12, 14, 6, , 1
2020/7/15, 24, , 16, 8, , 1
2020/7/20, 67, , 21, 19, , 6
2020/8/6, 68, 33, 27, 16, 1, 3
2020/8/7, 74, 33, 28, 18, , 4
2020/8/8, 72, 42, 28, 17, , 6
2020/8/9, 91, 41, 33, 10, 1, 3
2020/8/10, 104, 44, 32, 20, , 5
2020/8/11, 86, 47, 23, 24, 1, 7
2020/8/12, 90, 39, 26, 11, , 2
2020/8/13, 73, 45, 32, 20, 1, 4
2020/8/14, 84, 50, 37, 19, 1, 5
2020/8/15, 90, 30, 21, 10, , 3
2020/8/16, 61, 17, 20, 8, , 4
2020/8/17, 46, 17, 10, 17, , 5
2020/8/18, 40, 21, 11, 21, , 6
2020/8/19, 48, 19, 22, 10, , 2
2020/8/20, 48, 12, 19, 8, , 1
2020/8/21, 24, 5, 18, 7, , 1
2020/8/22, 13, 7, 17, 6, , 1
2020/8/23, 20, 11, 21, 5, , 1
2020/8/24, 27, 11, 21, 9, , 2
2020/8/25, 25, 16, 19, 11, , 1
2020/8/26, 35, 18, 24, 11, , 2
2020/8/27, 38, 28, 23, 16, 1, 3
2020/8/28, 60, 35, 34, 18, , 5
2020/8/29, 75, 40, 35, 19, , 9
2020/8/30, 82, 45, 41, 14, , 11
2020/8/31, 93, 18, 28, 5, , 1
2020/9/1, 47, 19, 24, 6, , 1
2020/9/2, 42, 24, 23, 8, , 1
2020/9/3, 46, 33, 32, 20, , 7
2020/9/4, 69, 49, 29, 22, , 12
2020/9/5, 92, 31, 38, 8, , 2
2020/9/6, 69, 36, 42, 12, , 4
2020/9/7, 79, 37, 55, 5, , 1
2020/9/8, 92, 30, 31, 8, , 2
2020/9/9, 73, 35, 30, 9, , 2
2020/9/10, 75, 47, 47, 17, , 4
2020/9/11, 91, 54, 57, 23, 1, 6
2020/9/12, 115, 59, 59, 18, 1, 6
2020/9/13, 119, 55, 53, 15, 1, 5
2020/9/14, 120, 53, 49, 19, , 6
2020/9/15, 105, 8, 21, 5, , 1
2020/9/16, 25, 26, 34, 11, , 2
2020/9/17, 60, 42, 29, 15, 1, 4
2020/9/18, 83, 58, 19, 34, , 13
2020/9/19, 107, 76, 54, 31, , 21
2020/9/20, 138, 12, 30, 2, , 1
2020/9/21, 26, 5, 17, 6, , 1
2020/9/22, 13, 8, 16, 7, , 1
2020/9/23, 21, 13, 16, 9, , 1
2020/9/24, 35, 21, 33, 10, , 2
2020/9/25, 55, 35, 48, 17, , 4
2020/9/26, 77, 43, 58, 21, 1, 7
2020/9/27, 92, 42, 44, 18, , 6
2020/9/28, 80, 35, 25, 16, , 4
2020/9/29, 67, 21, 20, 9, , 2
2020/9/30, 55, 35, 49, 12, , 3
2020/10/1, 72, 44, 55, 26, , 9
2020/4/2, 40, 20, 32, 7, , 1
2020/4/3, 43, 21, 23, 10, , 1
2020/4/4, 47, 19, 29, , , 1
2020/4/5, 33, 20, 34, , , 1
2020/4/6, 43, 29, 37, , , 3
2020/4/7, 57, 20, 23, , , 1
2020/4/8, 45, 12, 18, 6, 2, 1
2020/4/9, 26, 18, 25, 4, , 1
2020/4/10, 35, 18, 34, 4, 1, 1
2020/4/11, 37, 15, 24, 3, , 1
2020/4/12, 36, 12, 24, 2, , 1
2020/4/13, 31, 19, 26, 6, , 1
2020/4/14, 43, 23, 16, 9, , 2
2020/4/15, 52, 19, 24, 9, , 2
2020/4/16, 42, 25, 42, 11, , 2
2020/4/17, 56, 17, 21, 5, , 1
2020/4/18, 40, 15, 20, 4, , 1
2020/4/19, 37, 11, 21, 3, , 1
2020/4/20, 32, 15, 25, 6, , 1
2020/4/21, 37, 19, 34, 6, , 1
2020/4/22, 46, 23, 35, 7, , 1
2020/4/23, 59, 23, 29, 8, , 1
2020/4/24, 54, 25, 27, 7, 1, 1
2020/4/25, 57, 31, 38, 9, 1, 3
2020/4/26, 70, 34, 48, 10, , 4
2020/4/27, 81, 21, 28, 6, , 1
2020/4/28, 52, 18, 23, 8, , 1
2020/4/29, 38, 30, 30, 13, , 3
2020/4/30, 65, 50, 35, 23, , 6
2020/5/1, 95, 47, 41, 16, , 8
2020/5/2, 96, 37, 27, 8, , 4
2020/5/3, 88, 14, 24, 1, , 1
2020/5/4, 27, 17, 22, 7, 1, 1
2020/5/5, 42, 33, 29, 14, , 4
2020/5/6, 66, 38, 22, 17, , 5
2020/5/7, 73, 12, 18, 5, , 1
2020/5/8, 25, 12, 15, 6, , 1
2020/5/9, 26, 12, 23, 6, , 2
2020/5/10, 32, 18, 31, 7, , 2
2020/5/11, 46, 26, 28, 15, , 4
2020/5/12, 54, 42, 27, 21, , 8
2020/5/13, 81, 45, 18, 20, , 6
2020/5/14, 83, 21, 15, 10, , 2
2020/5/15, 43, 10, 15, 5, , 1
2020/5/16, 20, 17, 25, 8, 1, 1
2020/5/17, 46, 30, 39, 13, 1, 4
2020/5/18, 79, 35, 36, 13, 2, 4
2020/5/19, 88, 26, 21, 9, , 2
2020/5/20, 61, 25, 24, 9, , 2
2020/5/21, 59, 32, 26, 14, , 3
2020/5/22, 66, 33, 15, 13, , 3
2020/5/23, 63, 15, 14, 6, , 1
2020/5/24, 35, 9, 14, 4, , 1
2020/5/25, 25, 12, 22, 5, , 1
2020/5/26, 30, 16, 19, 10, , 2
2020/5/27, 34, 20, 21, 12, , 2
2020/5/28, 43, 21, 20, 11, , 2
2020/5/29, 47, 34, 27, 20, 1, 6
2020/5/30, 72, 56, 34, 26, 1, 18
2020/5/31, 112, 49, 38, 23, , 15
2020/6/1, 104, 46, 30, 21, , 11
2020/6/2, 97, 33, 14, 14, , 4
2020/6/3, 75, 25, 26, 14, , 3
2020/6/4, 58, 20, 14, 10, , 2
2020/6/5, 50, 26, 12, 13, 1, 4
2020/6/6, 65, 31, 14, 14, , 5
2020/6/7, 67, 14, 22, 8, , 3
2020/6/8, 35, 24, 14, 14, , 5
2020/6/9, 55, 38, 11, 17, , 7
2020/6/10, 70, 39, 16, 19, , 7
2020/6/11, 59, 47, 25, 19, , 8
2020/6/12, 63, 58, 26, 27, , 15
2020/6/13, 93, 52, 28, 18, , 11
2020/6/14, 91, 8, 20, 2, , 1
2020/6/15, 15, 12, 14, 6, , 1
2020/6/16, 26, 18, 13, 8, , 1
2020/6/17, 41, 31, 16, 14, , 2
2020/6/18, 51, 35, 17, 16, , 5
2020/6/19, 49, 51, 19, 19, , 10
2020/6/20, 68, 41, 27, 20, , 12
2020/6/21, 77, 40, 21, 14, , 9
2020/6/22, 80, 52, 31, 17, 1, 13
2020/6/23, 99, 36, 19, 22, , 5
2020/6/24, 67, 35, 19, 20, , 6
2020/6/25, 58, 47, 20, 19, , 6
2020/6/26, 77, 15, 13, 11, , 2
2020/6/27, 29, 8, 16, 7, , 2
2020/6/28, 21, 7, 17, 4, , 1
2020/6/29, 20, 23, 13, 13, 1, 2
2020/6/30, 42, 26, 16, 12, , 3
2020/7/1, 37, 22, 17, 10, , 2
2020/1/2, 71, 17, 27, 10, , 2
2020/1/3, 43, 7, 15, 5, , 1
2020/1/4, 18, 10, 23, 6, , 1
2020/1/5, 22, 13, 25, 6, , 1
2020/1/6, 43, 13, 31, 11, , 2
2020/1/7, 35, 22, 34, 14, , 3
2020/1/8, 46, 16, 27, 13, , 3
2020/1/9, 37, 17, 24, 11, , 3
2020/1/10, 45, 29, 32, 18, , 4
2020/1/11, 65, 25, 26, 13, , 4
2020/1/12, 58, 13, 17, 5, , 2
2020/1/13, 36, 15, 19, 5, , 1
2020/1/14, 38, 21, 22, 7, , 1
2020/1/15, 44, 37, 46, 17, , 4
2020/1/16, 72, 32, 32, 15, , 4
2020/1/17, 66, 8, 18, 5, , 1
2020/1/18, 18, 9, 12, 5, , 1
2020/1/19, 26, 14, 20, 4, , 1
2020/1/20, 34, 16, 17, 6, , 1
2020/1/21, 35, 21, 29, 7, , 1
2020/1/22, 43, 17, 19, 7, , 1
2020/1/23, 40, 16, 10, 10, , 3
2020/1/24, 38, 11, 16, 9, , 2
2020/1/25, 32, 15, 25, 7, , 2
2020/1/26, 34, 21, 37, 10, 1, 3
2020/1/27, 50, 33, 62, 18, 1, 4
2020/1/28, 66, 39, 37, 17, , 3
2020/1/29, 80, 28, 27, 14, , 2
2020/1/30, 66, 21, 16, 16, , 3
2020/1/31, 38, 19, 17, 11, , 3
2020/2/1, 36, 12, 19, 9, , 3
2020/2/2, 31, 12, 23, 8, , 2
2020/2/3, 43, 10, 15, 10, , 2
2020/2/4, 26, 12, 18, 11, , 2
2020/2/5, 33, 16, 26, 13, , 3
2020/2/6, 44, 18, 24, 11, , 2
2020/2/7, 43, 18, 21, 13, , 3
2020/2/8, 43, 16, 27, 9, , 4
2020/2/9, 39, 15, 20, 8, , 3
2020/2/10, 30, 6, 12, 7, , 2
2020/2/11, 18, 14, 13, 7, , 1
2020/2/12, 23, 12, 11, 7, , 2
2020/2/13, 26, 8, 16, 7, , 2
2020/2/14, 26, 16, 26, 10, 1, 2
2020/2/15, 41, 19, 35, 9, 1, 2
2020/2/16, 48, 29, 32, 13, , 4
2020/2/17, 68, , , , , 
2020/2/19, 52, 20, 29, 18, , 4
2020/2/20, 53, 22, 23, 19, , 5
2020/2/21, 56, 16, 17, 13, , 4
2020/2/22, 43, 14, 15, 7, , 2
2020/2/23, 36, 17, 18, 3, , 1
2020/2/24, 33, 21, 26, 8, 1, 2
2020/2/25, 60, 14, 26, 6, , 2
2020/2/26, 37, 10, 16, 10, , 3
2020/2/27, 26, 12, 16, 7, , 1
2020/2/28, 23, 16, 9, 9, , 2
2020/2/29, 30, 11, 16, 8, , 2
2020/3/1, 36, 6, 14, 3, , 1
2020/3/2, 23, 8, 14, 7, , 1
2020/3/3, 29, 10, 11, 9, , 2
2020/3/4, 24, 17, 15, 9, , 2
2020/3/5, 32, 18, 15, 9, , 2
2020/3/6, 32, 22, 24, 8, , 2
2020/3/7, 40, 19, 26, 6, , 1
2020/3/8, 42, 20, 24, 6, , 1
2020/3/9, 48, 21, 36, 10, 1, 2
2020/3/10, 52, 27, 39, 10, 1, 1
2020/3/11, 57, 28, 33, 9, , 3
2020/3/12, 56, 33, 47, 11, , 2
2020/3/13, 64, 37, 43, 12, , 2
2020/3/14, 77, 35, 42, 8, , 2
2020/3/15, 76, 25, 35, 7, , 2
2020/3/16, 51, 20, 34, 13, , 2
2020/3/17, 45, 21, 39, 13, , 3
2020/3/18, 55, 30, 54, 14, , 2
2020/3/19, 75, 30, 25, 16, , 2
2020/3/20, 67, 14, 23, 10, , 2
2020/3/21, 31, 14, 21, 4, , 1
2020/3/22, 38, 14, 24, 3, , 1
2020/3/23, 32, 13, 21, 4, , 1
2020/3/24, 26, 14, 18, 5, , 1
2020/3/25, 29, 14, 26, 5, , 1
2020/3/26, 29, 20, 22, 39, 2, 1
2020/3/27, 44, 21, 25, , , 1
2020/3/28, 46, 22, 31, , , 1
2020/3/29, 52, 25, 10, , , 1
2020/3/30, 56, , , , , 
2019/10/2, 61, 36, 73, 20, 1, 5
2019/10/3, 67, 31, 37, 11, , 3
2019/10/4, 63, 32, 58, 11, 1, 2
2019/10/5, 71, 39, 59, 11, , 3
2019/10/6, 76, 11, 26, 3, , 1
2019/10/7, 29, 7, 22, 8, 1, 2
2019/10/8, 22, 10, 24, 12, , 3
2019/10/9, 31, 13, 22, 11, 1, 3
