date, pm25, pm10, o3, no2, so2, co
2020/12/7, 34, 11, 21, 4, , 1
2020/12/8, 39, 12, 17, , , 2
2020/12/9, 44, 18, 34, , , 1
2020/12/10, 46, 16, 33, , , 1
2020/12/11, 47, 18, 25, , , 2
2020/12/12, 43, 15, 2, , , 4
2020/12/13, 53, 9, , , , 
2020/12/14, 41, 8, , , , 
2020/12/15, 28, 4, 19, , , 
2020/12/16, 48, 20, 42, , , 
2020/12/17, 64, 13, 29, , , 
2020/12/18, 50, 17, 31, , , 
2020/12/19, 49, 21, 41, , , 2
2020/12/20, 70, 15, 38, , , 1
2020/12/21, 44, 17, 28, , , 2
2020/12/22, 44, 8, 14, , , 1
2020/12/23, 31, 15, 18, , , 1
2020/12/24, 40, 9, 17, , , 1
2020/12/25, 34, 11, 20, , , 1
2020/12/26, 37, 14, 27, , , 1
2020/12/27, 42, 15, 8, , , 1
2020/12/28, 38, 12, 25, , , 1
2020/12/29, 46, 9, 29, , , 1
2020/12/30, 50, 13, 34, , , 1
2020/12/31, 45, 13, 25, , , 1
2021/1/1, 44, 15, 22, , , 1
2021/1/2, 54, 7, 22, , , 1
2021/1/3, 43, 7, 23, , , 1
2021/1/4, 39, 14, 30, , , 1
2020/7/2, 51, 23, 17, 17, , 2
2020/7/3, 56, 27, 20, 16, , 1
2020/7/4, 59, 26, 25, 16, , 4
2020/7/5, 57, 36, 21, 16, , 5
2020/7/6, 82, 36, 21, 21, , 4
2020/7/7, 72, 29, 19, 19, , 3
2020/7/8, 64, 30, 26, 14, , 2
2020/7/9, 52, 27, 16, 14, , 1
2020/7/10, 53, 35, 17, 22, , 3
2020/7/11, 68, 33, 24, 16, , 4
2020/7/12, 70, 39, 1, 17, , 7
2020/7/13, 78, 45, , 31, , 
2020/7/14, 77, 19, , 16, , 
2020/7/15, 39, 14, 14, 2, , 1
2020/7/16, 45, 21, 12, , , 1
2020/7/17, 51, 35, 2, , , 1
2020/7/18, 76, 42, 7, 35, , 4
2020/7/19, 87, 34, 15, , , 1
2020/7/20, 72, 39, 7, , , 8
2020/7/21, 76, 47, 21, 29, , 11
2020/7/22, 82, 48, 33, 31, , 3
2020/7/23, 78, 51, 32, 28, , 5
2020/7/24, 90, 39, 24, 26, , 5
2020/7/25, 72, 41, 30, 15, , 4
2020/7/26, 70, 21, 20, 5, , 1
2020/7/27, 44, 32, 18, 24, , 5
2020/7/28, 65, 43, 22, 22, , 6
2020/7/29, 74, 13, 22, 9, , 1
2020/7/30, 33, 8, 15, 11, , 1
2020/7/31, 25, 10, 15, 10, , 1
2020/8/1, 30, 19, 26, 10, , 1
2020/8/2, 48, 20, 29, 7, , 1
2020/8/3, 52, 34, 29, 19, , 2
2020/8/4, 65, 35, 24, 20, , 2
2020/8/5, 71, 31, 25, 18, , 2
2020/8/6, 62, 40, 28, 24, , 4
2020/8/7, 80, 40, 28, 24, , 4
2020/8/8, 74, 44, 32, 22, , 5
2020/8/9, 89, 39, 39, 14, , 3
2020/8/10, 96, 48, 32, 26, , 6
2020/8/11, 90, 54, 24, 30, , 7
2020/8/12, 98, 47, 24, 21, , 3
2020/8/13, 87, 49, 26, 26, , 4
2020/8/14, 82, 53, 40, 31, , 5
2020/8/15, 92, 36, 23, 22, , 3
2020/8/16, 66, 17, 20, 5, , 3
2020/8/17, 42, 16, 13, 14, , 3
2020/8/18, 42, 17, 10, 11, , 4
2020/8/19, 45, 24, 18, 8, , 2
2020/8/20, 55, 11, 16, 4, , 1
2020/8/21, 33, 3, 16, 3, , 1
2020/8/22, 19, 8, 16, 3, , 1
2020/8/23, 18, 12, 21, 8, , 1
2020/8/24, 27, 11, 20, 5, , 1
2020/8/25, 28, 14, 19, 9, , 1
2020/8/26, 34, 18, 23, 5, , 2
2020/8/27, 37, 31, 22, 18, , 4
